title	1	2	3	FeZn	Ag	Au	Cu	Fe	In	Mo	Ni	Pb	Sn	Ti	W	Zn	Zr	Magnet	OhneMagnet
239	2	12	6	1	10	1	11	10	7	11	4	3	2	0	2	10	1099	14	23
240	2	7	4	0	6	5	10	3	3	9	2	2	6	1	1	12	1038	18	14
241	4	11	3	0	6	5	9	1	4	19	1	2	6	3	4	9	898	12	17
242	2	7	5	2	8	5	8	6	4	11	2	1	4	1	3	9	691	8	12
243	3	7	3	1	5	5	5	5	3	16	2	1	4	4	2	8	467	13	20
244	2	6	7	1	2	5	2	2	3	12	4	6	9	4	2	10	364	17	24
245	1	9	4	1	7	2	9	1	1	24	3	1	1	3	0	9	244	12	20
246	3	6	6	0	4	4	3	4	2	14	1	2	3	0	2	7	132	10	17
247	1	12	5	0	8	6	5	4	3	10	3	3	3	1	3	15	73	14	14
248	0	8	3	1	7	3	4	2	2	18	3	2	6	2	0	6	45	10	15
249	1	7	2	0	3	3	3	3	7	22	2	4	5	1	0	9	20	20	17
250	2	6	7	0	5	4	5	1	7	23	2	2	4	5	1	12	20	12	11
251	1	8	9	0	4	7	2	0	5	14	1	2	2	1	4	8	13	15	16
252	3	9	1	2	5	1	4	1	5	24	1	0	6	2	0	8	15	17	17
253	1	9	7	2	2	7	1	1	7	35	0	1	4	4	0	11	12	8	10
254	0	6	6	2	9	7	2	0	7	57	3	1	2	1	2	7	12	11	15
255	1	3	4	0	3	3	2	3	4	82	2	1	1	2	4	18	17	9	14
256	2	4	5	0	3	4	1	0	0	129	2	2	0	0	2	10	17	13	9
257	1	3	4	0	4	2	3	2	4	205	2	0	1	3	1	10	20	5	9
258	1	1	3	0	9	2	0	2	3	296	0	2	7	2	0	8	24	15	11
259	3	2	2	1	4	4	1	1	4	447	1	1	3	4	2	5	44	20	11
260	3	0	1	0	7	4	1	2	4	532	1	2	3	1	1	4	55	15	15
261	6	2	2	0	2	6	0	1	2	649	0	1	3	1	0	5	71	8	9
262	2	2	1	2	2	5	2	1	3	684	1	4	1	1	1	2	103	7	16
263	4	3	1	0	6	6	0	1	4	640	0	3	4	4	1	2	115	6	11
264	3	3	3	0	1	4	0	3	4	606	0	1	0	3	0	5	129	11	9
265	7	1	2	0	2	2	0	0	5	446	2	0	3	0	2	2	148	4	5
266	1	3	1	0	2	7	3	2	5	367	2	0	1	1	3	5	170	15	14
267	3	1	3	0	4	6	2	0	3	273	0	1	5	0	0	3	135	5	12
268	3	0	2	0	1	2	0	1	3	183	1	0	1	2	3	2	125	15	9
269	1	3	0	1	4	3	0	1	4	110	2	1	1	1	2	1	111	6	11
270	2	0	2	2	4	4	1	1	2	78	0	3	0	0	1	0	76	7	15
271	2	0	1	0	6	2	0	0	3	47	0	2	4	1	2	7	55	8	14
272	2	1	1	0	6	5	2	1	3	12	1	2	2	1	1	3	41	6	8
273	1	0	2	1	3	5	2	4	4	14	0	2	3	0	0	2	30	8	14
274	1	0	1	0	3	2	1	1	3	7	2	3	2	0	1	1	11	11	10
275	1	1	0	1	4	2	0	3	5	8	1	0	5	0	1	1	6	6	9
276	2	1	1	0	2	6	2	1	4	2	2	1	0	1	0	5	7	9	9
277	0	1	0	2	4	9	0	1	3	2	2	1	1	2	0	2	3	10	12
278	1	0	1	0	6	1	1	2	3	6	0	3	3	2	0	3	7	5	12
279	1	3	2	0	7	3	0	1	0	6	2	1	5	2	0	0	1	4	12
280	3	2	1	1	2	3	0	0	1	7	0	1	5	1	0	1	4	4	9
281	0	0	1	0	4	9	1	0	2	2	1	1	4	1	0	1	0	8	9
282	1	0	1	1	4	4	2	0	2	10	1	0	2	1	0	0	3	8	6
283	0	0	1	0	2	2	1	0	3	4	2	0	1	0	0	0	1	4	8
284	2	1	0	2	4	3	1	1	3	8	0	4	3	0	0	2	0	4	8
285	1	1	2	0	4	4	0	1	3	18	0	3	5	0	1	1	0	12	9
286	2	0	0	1	2	5	0	1	3	20	2	5	4	3	1	2	1	10	3
287	0	0	2	0	5	5	1	2	5	28	0	0	2	0	0	0	2	9	9
288	0	0	1	0	2	3	0	1	3	42	1	1	3	1	2	2	1	8	9
289	0	0	0	0	5	4	2	0	2	62	0	0	1	1	2	0	2	7	6
290	1	1	1	0	3	4	1	1	2	76	1	3	1	2	0	0	2	8	8
291	3	0	0	0	5	1	0	2	2	78	0	3	5	2	0	1	1	5	5
292	2	1	1	0	5	3	0	0	2	91	2	1	1	1	0	0	2	7	4
293	0	0	1	0	2	6	4	1	3	84	0	1	3	2	1	0	1	5	7
294	3	0	0	1	7	1	0	2	4	73	1	0	1	2	0	1	1	7	8
295	2	1	1	0	3	1	0	0	3	58	1	1	0	3	0	1	1	5	6
296	2	1	0	0	6	6	1	0	5	54	3	0	1	0	1	0	2	6	8
297	0	2	0	1	5	1	1	0	4	53	2	2	2	1	1	0	2	4	3
298	1	0	1	0	2	2	0	0	1	32	0	0	2	1	2	2	0	5	7
